S0,K,r,sigma,T,n,option_type,mc_price,mc_se,mc_time,cv_price,cv_se,cv_beta,cv_plain_mc_price,cv_plain_mc_std,geo_analytical,variance_reduction,cv_time,mc_cv_plain_diff,mc_cv_std_diff,tw_price,tw_time,levy_price,levy_time,cv_error_vs_mc,tw_error_vs_mc,levy_error_vs_mc,cv_abs_error_vs_mc,tw_abs_error_vs_mc,levy_abs_error_vs_mc,mc_error_vs_cv,tw_error_vs_cv,levy_error_vs_cv,mc_abs_error_vs_cv,tw_abs_error_vs_cv,levy_abs_error_vs_cv
100,70,0.05,0.2,1.0,180,call,30.976418305581173,0.036227494287963354,0.16804908402264118,30.969755815877654,0.0009701913921640444,1.0112514407148245,30.97641830558118,0.036227494287963354,30.635239038898245,1394.3177596047067,0.1462617910001427,-7.105427357601002e-15,0.0,30.969989772982032,0.00026291701942682266,30.956375595570243,4.66697383671999e-06,-0.0066624897035190145,-0.0064285325991413345,-0.020042710010930165,0.0066624897035190145,0.0064285325991413345,0.020042710010930165,0.0066624897035190145,0.00023395710437768003,-0.01338022030741115,0.0066624897035190145,0.00023395710437768003,0.01338022030741115
100,70,0.05,0.2,1.0,252,call,30.970487120896532,0.03621716029924132,0.21004775003530085,30.966679027259637,0.000981984747743545,1.0115733050824873,30.970487120896525,0.03621716029924132,30.63135673328636,1360.2517895998149,0.19837983301840723,7.105427357601002e-15,0.0,30.966099614771796,0.000273957964964211,30.956375595570243,4.082918167114258e-06,-0.003808093636894938,-0.004387506124736262,-0.014111525326288898,0.003808093636894938,0.004387506124736262,0.014111525326288898,0.003808093636894938,-0.0005794124878413243,-0.01030343168939396,0.003808093636894938,0.0005794124878413243,0.01030343168939396
100,70,0.05,0.3,1.0,4,call,31.79771977552125,0.06434811366573703,0.0035847079707309604,31.739999515517642,0.002321625245299348,1.017020020273227,31.79771977552125,0.06434811366573703,31.073642647284068,768.2231766501383,0.004584875074215233,0.0,0.0,31.76161381477571,1.5915953554213047e-05,31.027311306120517,2.9169023036956787e-06,-0.057720260003609525,-0.036105960745540955,-0.7704084694007349,0.057720260003609525,0.036105960745540955,0.7704084694007349,0.057720260003609525,0.02161429925806857,-0.7126882093971254,0.057720260003609525,0.02161429925806857,0.7126882093971254
100,70,0.05,0.3,1.0,6,call,31.43204387437118,0.060804790200442195,0.0051394590409472585,31.487655163812153,0.0022263419172053683,1.0182343847134607,31.43204387437117,0.06080479020044218,30.79439712385897,745.9193308488126,0.0057602080050855875,7.105427357601002e-15,1.3877787807814457e-17,31.50855289558781,1.491699367761612e-05,31.027311306120517,2.5419285520911217e-06,0.05561128944097504,0.07650902121662995,-0.40473256825066173,0.05561128944097504,0.07650902121662995,0.40473256825066173,-0.05561128944097504,0.020897731775654904,-0.46034385769163677,0.05561128944097504,0.020897731775654904,0.46034385769163677
100,70,0.05,0.3,1.0,8,call,31.342318903718112,0.05904328212013291,0.0055989999091252685,31.365515431469447,0.0021941595618119457,1.0185774057594512,31.342318903718112,0.05904328212013291,30.661802530333294,724.1100395214152,0.006580290966667235,0.0,0.0,31.385167419347194,1.5832949429750443e-05,31.027311306120517,3.00002284348011e-06,0.023196527751334628,0.042848515629081874,-0.3150075975975959,0.023196527751334628,0.042848515629081874,0.3150075975975959,-0.023196527751334628,0.019651987877747246,-0.3382041253489305,0.023196527751334628,0.019651987877747246,0.3382041253489305
100,70,0.05,0.3,1.0,12,call,31.27372726088712,0.057336945470151564,0.010185082908719778,31.243997623352794,0.002148140218080742,1.0192349722525007,31.273727260887114,0.05733694547015155,30.533885723740447,712.4327139984063,0.008710916037671268,7.105427357601002e-15,1.3877787807814457e-17,31.263854722129068,1.8832972273230553e-05,31.027311306120517,2.9169023036956787e-06,-0.029729637534327225,-0.00987253875805294,-0.24641595476660427,0.029729637534327225,0.00987253875805294,0.24641595476660427,0.029729637534327225,0.019857098776274285,-0.21668631723227705,0.029729637534327225,0.019857098776274285,0.21668631723227705
100,70,0.05,0.3,1.0,18,call,31.17033785664541,0.056098024363844326,0.013656209106557071,31.160215258084964,0.0021154026306607903,1.0196360629950794,31.170337856645407,0.056098024363844326,30.451197084439556,703.2488866234961,0.015121541917324066,3.552713678800501e-15,0.0,31.184116244587585,2.1792016923427582e-05,31.027311306120517,2.9170187190175056e-06,-0.010122598560446505,0.013778387942174675,-0.143026550524894,0.010122598560446505,0.013778387942174675,0.143026550524894,0.010122598560446505,0.02390098650262118,-0.1329039519644475,0.010122598560446505,0.02390098650262118,0.1329039519644475
100,70,0.05,0.3,1.0,26,call,31.16491369973629,0.05553582105821627,0.020764790941029787,31.111726585512784,0.0021036118136316126,1.0197248896926647,31.164913699736296,0.05553582105821627,30.401336821773874,696.9717762796939,0.017227291013114154,-7.105427357601002e-15,0.0,31.135492405895818,3.750005271285772e-05,31.027311306120517,3.250082954764366e-06,-0.05318711422350475,-0.029421293840471208,-0.1376023936157722,0.05318711422350475,0.029421293840471208,0.1376023936157722,0.05318711422350475,0.023765820383033542,-0.08441527939226745,0.05318711422350475,0.023765820383033542,0.08441527939226745
100,70,0.05,0.3,1.0,36,call,31.161029229601525,0.05508069457808255,0.029477708972990513,31.08350751952273,0.002112686318139034,1.0201094353357743,31.161029229601517,0.05508069457808255,30.370569318909933,679.7180091063723,0.02467299997806549,7.105427357601002e-15,0.0,31.105273305685127,3.825000021606684e-05,31.027311306120517,5.375011824071407e-06,-0.07752171007879483,-0.055755923916397165,-0.13371792348100797,0.07752171007879483,0.055755923916397165,0.13371792348100797,0.07752171007879483,0.02176578616239766,-0.05619621340221315,0.07752171007879483,0.02176578616239766,0.05619621340221315
100,70,0.05,0.3,1.0,52,call,31.11965731308694,0.05466733035485588,0.03895841690246016,31.057906529991,0.002090792433078366,1.0199529686920317,31.11965731308694,0.05466733035485589,30.346173575055587,683.6501171006678,0.033224791986867785,0.0,-6.938893903907228e-18,31.08119191712966,4.716601688414812e-05,31.027311306120517,4.249974153935909e-06,-0.06175078309593829,-0.03846539595727805,-0.09234600696642303,0.06175078309593829,0.03846539595727805,0.09234600696642303,0.06175078309593829,0.02328538713866024,-0.030595223870484745,0.06175078309593829,0.02328538713866024,0.030595223870484745
