S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,0.19611613513818404,call,9.224881889938061,0.0004299961639901149,9.252438396106546,0.027556506168485484,0.027556506168485484,0.0029871933860250765,0.00034445632710606856,0.00034445632710606856
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,0.1386750490563073,call,9.183805739949356,0.0004230637291050675,9.212650173766525,0.02884443381716828,0.02884443381716828,0.003140793112782821,0.0003605554227146035,0.0003605554227146035
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,0.0890870806374748,call,9.16153771678542,0.0004256231287992154,9.189420361998783,0.027882645213363588,0.027882645213363588,0.003043445988578759,0.0003485330651670449,0.0003485330651670449
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.5,0.25,12,0.08333333333333333,0.2886751345948129,call,9.967830370726443,0.000672661122807987,10.010061524847004,0.04223115412056089,0.04223115412056089,0.004236744863213712,0.000527889426507011,0.000527889426507011
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.5,0.25,26,0.038461538461538464,0.19611613513818404,call,9.83907648424343,0.0006612726937339899,9.882819365984915,0.04374288174148511,0.04374288174148511,0.004445832066814012,0.0005467860217685638,0.0005467860217685638
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.5,0.25,52,0.019230769230769232,0.1386750490563073,call,9.784411862271583,0.0006577200521533392,9.828684490428552,0.04427262815696942,0.04427262815696942,0.004524812403664591,0.0005534078519621177,0.0005534078519621177
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.5,0.25,126,0.007936507936507936,0.0890870806374748,call,9.751640580345425,0.0006448739006945027,9.797007854339174,0.04536727399374918,0.04536727399374918,0.004652270930205076,0.0005670909249218647,0.0005670909249218647
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.6,0.36,12,0.08333333333333333,0.2886751345948129,call,10.691733153682339,0.000971913543778335,10.752426952119713,0.06069379843737366,0.06069379843737366,0.00567670344601428,0.0007586724804671708,0.0007586724804671708
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.6,0.36,26,0.038461538461538464,0.19611613513818404,call,10.52954513650279,0.0009453080645134259,10.592827781522903,0.06328264502011294,0.06328264502011294,0.006010007478930015,0.0007910330627514117,0.0007910330627514117
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.6,0.36,52,0.019230769230769232,0.1386750490563073,call,10.45945572781329,0.0009278661763937481,10.524738414486563,0.06528268667327275,0.06528268667327275,0.0062414994022754085,0.0008160335834159094,0.0008160335834159094
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.6,0.36,126,0.007936507936507936,0.0890870806374748,call,10.416494075698465,0.0009217374595706001,10.48484104794523,0.06834697224676489,0.06834697224676489,0.006561418050072858,0.0008543371530845611,0.0008543371530845611
80,80.0,1.0,0.0,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,0.2886751345948129,call,1.2628285300940878,2.510678899881677e-05,1.2634110623164945,0.0005825322224066731,0.0005825322224066731,0.0004612916231495587,7.2816527800834144e-06,7.2816527800834144e-06
80,80.0,1.0,0.0,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,0.19611613513818404,call,1.2197619333029217,2.405795775071797e-05,1.2203984995416783,0.0006365662387566307,0.0006365662387566307,0.0005218774429473383,7.957077984457882e-06,7.957077984457882e-06
80,80.0,1.0,0.0,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,0.1386750490563073,call,1.2012797010050258,2.3735894059102226e-05,1.201937703849412,0.0006580028443861075,0.0006580028443861075,0.0005477515717909851,8.225035554826343e-06,8.225035554826343e-06
80,80.0,1.0,0.0,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,0.0890870806374748,call,1.190413956402338,2.3606319946890366e-05,1.1910876677525482,0.0006737113502102154,0.0006737113502102154,0.0005659471199802646,8.421391877627693e-06,8.421391877627693e-06
80,80.0,1.0,0.0,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,0.2886751345948129,call,2.2211832241197813,9.544194691586654e-05,2.223195764509102,0.0020125403893205274,0.0020125403893205274,0.00090606680595567,2.515675486650659e-05,2.515675486650659e-05
80,80.0,1.0,0.0,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,0.19611613513818404,call,2.1482374061605545,9.066908616213786e-05,2.1501704389543286,0.0019330327937741032,0.0019330327937741032,0.0008998227049909365,2.416290992217629e-05,2.416290992217629e-05
80,80.0,1.0,0.0,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,0.1386750490563073,call,2.116841419283204,8.969861761969221e-05,2.1188157648317176,0.001974345548513501,0.001974345548513501,0.0009326846737447368,2.467931935641876e-05,2.467931935641876e-05
80,80.0,1.0,0.0,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,0.0890870806374748,call,2.098384345389501,8.804150172666105e-05,2.1003838771142864,0.0019995317247856192,0.0019995317247856192,0.0009528910798343129,2.499414655982024e-05,2.499414655982024e-05
80,80.0,1.0,0.0,0.05,0.25,0.3,0.09,12,0.08333333333333333,0.2886751345948129,call,3.186930351473401,0.00021369829317927807,3.191402794218609,0.004472442745208305,0.004472442745208305,0.001403370093463316,5.5905534315103814e-05,5.5905534315103814e-05
80,80.0,1.0,0.0,0.05,0.25,0.3,0.09,26,0.038461538461538464,0.19611613513818404,call,3.083299659524708,0.0002029398556824476,3.088044683670858,0.00474502414615019,0.00474502414615019,0.0015389435572673586,5.931280182687737e-05,5.931280182687737e-05
80,80.0,1.0,0.0,0.05,0.25,0.3,0.09,52,0.019230769230769232,0.1386750490563073,call,3.039150601718161,0.00020123370323914816,3.043659071277362,0.004508469559201256,0.004508469559201256,0.0014834636877331536,5.63558694900157e-05,5.63558694900157e-05
80,80.0,1.0,0.0,0.05,0.25,0.3,0.09,126,0.007936507936507936,0.0890870806374748,call,3.012860398145594,0.00019783951942753156,3.0175648801766615,0.004704482031067325,0.004704482031067325,0.0015614669813320654,5.880602538834157e-05,5.880602538834157e-05
