S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual,cubic_predicted_scaled_tw_bias,cubic_predicted_tw_bias,tw_cubic_corrected_price,tw_cubic_corrected_error,tw_cubic_corrected_abs_error
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.3,0.09,52,0.0192307692307692,0.1386750490563073,call,24.20716045138712,0.0003032672803363,24.207299979325263,0.00013952793814198117,0.00013952793814198117,5.763911815356515e-06,1.7440992267747646e-06,1.7440992267747646e-06,1.40003008002688e-07,1.120024064021504e-05,24.207288779084625,0.00012832769750303896,0.00012832769750303896
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.3,0.09,126,0.0079365079365079,0.0890870806374748,call,24.20205306137857,0.0003010833897863,24.20168408204732,-0.0003689793312524614,0.0003689793312524614,-1.5245786393127233e-05,-4.612241640611359e-06,4.612241640611359e-06,-1.1810732175194679e-06,-9.448585740155743e-05,24.20177856790472,-0.00027449347384944645,0.00027449347384944645
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.4,0.16,12,0.0833333333333333,0.2886751345948129,call,24.241283218382932,0.0005388092793962,24.24278576214931,0.0015025437663780394,0.0015025437663780394,6.19828477247695e-05,1.8781797079725498e-05,1.8781797079725498e-05,1.243953535107099e-05,0.0009951628280856792,24.241790599321224,0.0005073809382913907,0.0005073809382913907
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.4,0.16,26,0.0384615384615384,0.196116135138184,call,24.219324699316054,0.000542092328349,24.219376681226663,5.198191060884483e-05,5.198191060884483e-05,2.146298926607151e-06,6.497738825661514e-07,6.497738825661514e-07,6.910060799205157e-06,0.0005528048639364126,24.218823876362727,-0.0005008229533274289,0.0005008229533274289
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.4,0.16,52,0.0192307692307692,0.1386750490563073,call,24.208720287316265,0.0005392328042333,24.20943369737182,0.0007134100555568068,0.0007134100555568068,2.946913538137683e-05,8.917625694460085e-06,8.917625694460085e-06,1.153538707227895e-05,0.000922830965782316,24.20851086640604,-0.00020942091022391196,0.00020942091022391196
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.4,0.16,126,0.0079365079365079,0.0890870806374748,call,24.20261879461179,0.0005326528964817,24.203616673255027,0.0009978786432363052,0.0009978786432363052,4.123019296799854e-05,1.2473483040409406e-05,1.2473483040409406e-05,7.3357113882167415e-06,0.0005868569110573393,24.20302981634397,0.00041102173218021676,0.00041102173218021676
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.5,0.25,12,0.0833333333333333,0.2886751345948129,call,24.26414214481172,0.0008424699255391,24.270203410343775,0.006061265532053994,0.006061265532053994,0.0002498034134435,7.576581915067493e-05,7.576581915067493e-05,8.535583512224581e-05,0.006828466809779665,24.263374943533996,-0.0007672012777248938,0.0007672012777248938
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.5,0.25,26,0.0384615384615384,0.196116135138184,call,24.23497482051654,0.0008364192752739,24.24088771918708,0.005912898670537459,0.005912898670537459,0.0002439820430733,7.391123338176264e-05,7.391123338176264e-05,8.021371915860135e-05,0.006417097532688108,24.234470621654392,-0.0005041988621492521,0.0005041988621492521
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.5,0.25,52,0.0192307692307692,0.1386750490563073,call,24.22386509325179,0.0008348570259544,24.22869027480681,0.004825181555020208,0.004825181555020208,0.0001991912329615,6.03147694377526e-05,6.03147694377526e-05,7.398410060632568e-05,0.005918728048506055,24.222771546758302,-0.0010935464934860306,0.0010935464934860306
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.5,0.25,126,0.0079365079365079,0.0890870806374748,call,24.21493556140012,0.0008286914361532,24.221624487658666,0.0066889262585441145,0.0066889262585441145,0.0002762314292177,8.361157823175703e-05,8.361157823175703e-05,7.629289081646082e-05,0.006103431265316865,24.21552105639335,0.0005854949932277975,0.0005854949932277975
