model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,v0,theta,kappa,xi,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,variance_mean,option_type,n_paths,seed
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.3,-0.4,0.19857078157099395,20.84553727077201,20.85546849027375,0.030355564464483252,-0.00993121950174114,-9.93121950174114e-05,102.56689963213526,101.38061589173317,0.06195091505876731,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.3,0.0,0.19857078157099395,20.84553727077201,20.848795603898594,0.030581203612493515,-0.003258333126584745,-3.2583331265847445e-05,102.57464208734095,101.3758039647723,0.06195091505876731,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.6,-0.8,0.19857078157099395,20.84553727077201,20.870792468101786,0.02974120032144395,-0.02525519732977699,-0.0002525519732977699,102.51986846369799,101.37320005159876,0.0645844656570404,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.6,-0.4,0.19857078157099395,20.84553727077201,20.85720596695299,0.030420591613171996,-0.011668696180979765,-0.00011668696180979765,102.54301312855684,101.37248025395252,0.0645844656570404,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.6,0.0,0.19857078157099395,20.84553727077201,20.8470385046885,0.031036032604784818,-0.001501233916489042,-1.501233916489042e-05,102.56119980756878,101.37108902602631,0.0645844656570404,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.1,-0.8,0.19116460454653056,20.84323540218827,20.873025964350727,0.03753417918665819,-0.029790562162457235,-0.00029790562162457235,102.56838305383287,101.38723983309508,0.03330333025669159,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.1,-0.4,0.19116460454653056,20.84323540218827,20.860048409161198,0.03771357722864511,-0.01681300697292798,-0.0001681300697292798,102.57285143342216,101.37860419426399,0.03330333025669159,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.1,0.0,0.19116460454653056,20.84323540218827,20.84665931448815,0.03779017020308401,-0.0034239122998798166,-3.423912299879817e-05,102.5678964306761,101.36865125759941,0.03330333025669159,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.3,-0.8,0.19116460454653056,20.84323540218827,20.88531693152409,0.03648648771081414,-0.04208152933582099,-0.0004208152933582099,102.52594254753657,101.3713700747816,0.03386738891152643,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.3,-0.4,0.19116460454653056,20.84323540218827,20.86212647380145,0.037155154796074584,-0.018891071613179378,-0.00018891071613179376,102.53391608060691,101.36494891771443,0.03386738891152643,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.3,0.0,0.19116460454653056,20.84323540218827,20.84210494644464,0.03770676371920638,0.0011304557436311313,1.1304557436311314e-05,102.54040714375678,101.35944380712836,0.03386738891152643,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.6,-0.8,0.19116460454653056,20.84323540218827,20.930695552828723,0.035444810886847505,-0.0874601506404531,-0.000874601506404531,102.49230504058686,101.35430597345065,0.0397850707899551,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.6,-0.4,0.19116460454653056,20.84323540218827,20.88579947090465,0.03688872366027596,-0.04256406871638063,-0.0004256406871638063,102.50424169307783,101.35107293952774,0.0397850707899551,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,0.5,0.6,0.0,0.19116460454653056,20.84323540218827,20.849980359463608,0.038167913203791266,-0.006744957275337526,-6.744957275337527e-05,102.52099694545694,101.35089885819033,0.0397850707899551,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.1,-0.8,0.17018700527612773,20.839689013374446,20.863893087877056,0.035529000275996876,-0.02420407450260953,-0.0002420407450260953,102.5615824115324,101.38331587967497,0.02056738015443337,call,50000,42
