model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,alpha0,beta,nu,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,alpha_terminal_mean,option_type,n_paths,seed
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.3,0.0,0.03,20.838470011562116,20.83855985160103,0.005801043394578741,-8.984003891399084e-05,-8.984003891399084e-07,102.53670401382331,101.36609050579983,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.6,-0.8,0.03,20.838470011562116,20.455109334340914,0.006226798179373824,0.3833606772212015,0.0038336067722120146,101.80116171651021,100.97293289248012,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.6,-0.4,0.03,20.838470011562116,20.64599015460762,0.005997907350487977,0.19247985695449543,0.0019247985695449543,102.16733630426003,101.16864588371769,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.6,0.0,0.03,20.838470011562116,20.83772841834581,0.005914487543299061,0.0007415932163041816,7.415932163041817e-06,102.5345873419724,101.36523802471157,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.1,-0.8,0.07535659294528739,20.83847001156221,20.684877924032804,0.01455478135341514,0.15359208752940745,0.0015359208752940745,102.23902138297498,101.2085181017128,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.1,-0.4,0.07535659294528739,20.83847001156221,20.762771555483287,0.014543621685763007,0.07569845607892489,0.000756984560789249,102.39589449844814,101.28838361983154,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.1,0.0,0.07535659294528739,20.83847001156221,20.840321006701867,0.014515537889797734,-0.0018509951396552538,-1.850995139655254e-05,102.54897452719476,101.3678962447543,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.3,-0.8,0.07535659294528739,20.83847001156221,20.36161624022125,0.014720905013818696,0.47685377134096285,0.004768537713409629,101.62345273024212,100.87707300941463,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.3,-0.4,0.07535659294528739,20.83847001156221,20.599621093183718,0.01462012246086513,0.2388489183784941,0.002388489183784941,102.08395548982335,101.12110298391522,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.3,0.0,0.07535659294528739,20.83847001156221,20.838793914502755,0.014589063382972996,-0.000323902940543519,-3.23902940543519e-06,102.54476322468304,101.36633049403213,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.6,-0.8,0.07535659294528739,20.83847001156221,19.88206562405766,0.015454293514305486,0.956404387504552,0.00956404387504552,100.71374175782354,100.38527452972954,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.6,-0.4,0.07535659294528739,20.83847001156221,20.356382638121367,0.014988136967656595,0.4820873734408444,0.004820873734408444,101.6201094105602,100.87170691804681,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.7,0.6,0.0,0.07535659294528739,20.83847001156221,20.83661276124656,0.014874429846125348,0.0018572503156519815,1.8572503156519814e-05,102.53912616431614,101.36409412461836,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.1,-0.8,0.3,20.997409956153085,20.44497488966967,0.05604862398965743,0.5524350664834152,0.005524350664834152,101.4076175158067,100.75503490814917,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.1,-0.4,0.3,20.997409956153085,20.72040386997093,0.05659698757244473,0.27700608618215483,0.002770060861821548,102.01722344252572,101.06718495250728,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.1,0.0,0.3,20.997409956153085,20.99709033488625,0.05697873815218424,0.0003196212668363785,3.1962126683637848e-06,102.61073533571411,101.37732805042374,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.3,-0.8,0.3,20.997409956153085,19.344191159794224,0.05393374990653764,1.6532187963588605,0.016532187963588605,99.0448168900685,99.46969456136726,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.3,-0.4,0.3,20.997409956153085,20.151895044624546,0.0555156183878718,0.8455149115285394,0.008455149115285394,100.79141203138931,100.40791859398007,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.3,0.0,0.3,20.997409956153085,21.001531432670607,0.057172563782158625,-0.004121476517521927,-4.121476517521927e-05,102.58914634273931,101.3694732441469,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.6,-0.8,0.3,20.997409956153085,17.88952717463438,0.05150951651907076,3.107882781518704,0.03107882781518704,95.74831087752398,97.6375846060488,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.6,-0.4,0.3,20.997409956153085,19.373427362852773,0.05434380796801325,1.6239825933003118,0.01623982593300312,99.02308528546945,99.44541001087845,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,1.0,0.6,0.0,0.3,20.997409956153085,21.031303755843492,0.05800982472287947,-0.03389379969040718,-0.00033893799690407176,102.55902344417238,101.35818798684049,0.30014932060341953,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.1,-0.8,0.010000000000000002,20.78304747193439,20.76300322021446,0.0018752486182556346,0.020044251719927075,0.00020044251719927075,102.49154712276639,101.28862114918329,0.10001690169221956,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.1,-0.4,0.010000000000000002,20.78304747193439,20.773833766321697,0.00187031633847122,0.009213705612690859,9.213705612690858e-05,102.51376188811416,101.29972587187059,0.10001690169221956,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.1,0.0,0.010000000000000002,20.78304747193439,20.784360289598947,0.0018639159686981628,-0.0013128176645587075,-1.3128176645587076e-05,102.53513811626725,101.3105188753533,0.10001690169221956,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.3,-0.8,0.010000000000000002,20.78304747193439,20.7217033254511,0.0019043644737192064,0.06134414648328956,0.0006134414648328956,102.40979155809099,101.24627574260636,0.10006083737414176,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.3,-0.4,0.010000000000000002,20.78304747193439,20.75310133317505,0.001883676877686666,0.029946138759338936,0.00029946138759338935,102.47289536889613,101.27846859468005,0.10006083737414176,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,26,0.038461538461538464,0.19611613513818404,0.1,0.5,0.3,0.0,0.010000000000000002,20.78304747193439,20.784238066812808,0.001872715206278369,-0.0011905948784196596,-1.1905948784196596e-05,102.53518972176674,101.3103935584826,0.10006083737414176,call,50000,42
